"code_rongeur","syphacia_stroma","heligmosomoides_polygyrus","hymenolepis_hiberna","syphacia_frederici","trichuris","hydatigera_parva","aspiculuris_tetraptera","skrjabinotaenia_lobata","numero_ligne","demogroup","sexe","gestation","SMI","poids","longueur_tete_corps","richesse_spe_AP","habitat1","habitat2","richesse","shannon","simpson"
"NCHA100151",0,0,0,0,0,0,0,0,4,"adult","M","non",19.9343428913809,23.2,95,0,"haie","NC_HB",0,NA,NA
"NCHA100153",257,74,0,0,0,0,0,0,4,"adult","F","non",19.7106847296701,25.7,99,1,"haie","NC_HB",2,0.531383116418815,0.347167331440932
"NCHA100155",0,3,0,3,0,0,0,0,4,"adult","M","non",20.0197160096247,16.6,84,1,"haie","NC_HB",2,0.693147180559945,0.5
"NCHA100156",0,3,0,0,0,0,0,0,4,"adult","F","non",19.6800022652949,21.6,93,2,"haie","NC_HB",1,0,0
"NCHA100157",38,3,0,0,0,0,0,0,7,"adult","M","non",20.524044319371,23.2,94,6,"haie","C_LB",2,0.261764482909015,0.135633551457466
"NCHA100162",0,62,0,0,0,0,0,0,7,"adult","F","non",18.6725391522082,17.6,88,0,"haie","C_LB",1,0,0
"NCHA100163",0,6,0,0,0,0,0,0,7,"adult","F","non",20.1789664145738,12.7,76,1,"haie","C_LB",1,0,0
"NCHA100166",0,6,0,0,0,0,0,0,38,"adult","F","non",17.7369788328772,16.2,87,1,"feuillus","B",1,0,0
"NCHA100167",32,12,0,0,0,0,0,0,1,"adult","F","non",20.2266689948864,22.2,93,1,"haie","NC_LB",2,0.585952618303551,0.396694214876033
"NCHA100170",0,43,0,0,0,0,0,0,9,"adult","M","non",20.3639623502468,23.7,95,4,"haie","NC_LB",1,0,0
"NCHA100173",238,2,0,0,0,0,0,0,3,"subadult","M","non",19.1440700343709,16.4,85,0,"haie","NC_HB",2,0.0481942787797793,0.0165277777777777
"NCHA100174",53,21,0,0,0,0,0,0,3,"adult","F","oui",16.7080656014578,17.8,92,3,"haie","NC_HB",2,0.596491544414246,0.406501095690285
"NCHA100175",0,27,0,0,0,0,0,0,3,"adult","F","oui",24.1333889413197,24.2,90,1,"haie","NC_HB",1,0,0
"NCHA100176",0,8,0,93,0,0,0,0,9,"adult","F","non",18.3877128394634,21.4,95,1,"haie","NC_LB",2,0.276830564398769,0.14586805215175
"NCHA100177",0,30,0,0,0,0,0,0,5,"adult","M","non",20.2175533872845,20.9,91,0,"pins","CT_LB",1,0,0
"NCHA100181",0,4,0,0,0,0,0,0,7,"adult","F","oui",26.8922480462445,27.8,91,1,"haie","C_LB",1,0,0
"NCHA100183",0,0,0,0,0,0,0,0,1,"subadult","M","non",22.4833115914563,15.2,78,0,"haie","NC_LB",0,NA,NA
"NCHA100184",150,3,0,0,0,0,1,0,1,"adult","F","oui",19.2280496242187,23.7,97,1,"haie","NC_LB",3,0.135062141501664,0.0508517456569404
"NCHA100188",0,0,0,0,0,0,0,0,44,"adult","M","non",18.3124016125422,20.7,94,1,"feuillus","B",0,NA,NA
"NCHA100189",141,0,0,0,0,0,0,0,44,"adult","M","non",17.8648457949589,21.4,96,2,"feuillus","B",1,0,0
"NCHA100190",0,0,0,0,0,0,0,0,44,"adult","F","non",19.2029403642994,14.9,82,1,"feuillus","B",0,NA,NA
"NCHA100192",0,57,0,0,0,0,0,0,4,"adult","M","non",19.0422244141048,20.9,93,1,"haie","NC_HB",1,0,0
"NCHA100195",119,88,0,0,0,0,0,0,4,"adult","F","non",19.6800022652949,21.6,93,1,"haie","NC_HB",2,0.681891086239504,0.488786202711849
